(134951, 9906)
(113830, 7366)
(75593, 10883)
(27920, 5314)
(27920, 12015)
(27920, 16170)
(94322, 5314)
(94322, 12015)
(94322, 16170)
(189704, 5314)
(189704, 12015)
(189704, 16170)
(945, 9138)
(113972, 9138)
(199192, 15165)
(125935, 9085)
(54411, 8580)
(54411, 13287)
(99808, 8580)
(99808, 13287)
(125829, 8580)
(125829, 13287)
(43017, 19923)
(175026, 7935)
(175026, 18093)
(145227, 6488)
(199949, 6488)
(62203, 10226)
(145224, 18096)
(161391, 16505)
(54412, 8579)
(99809, 8579)
(43018, 3926)
(43018, 19922)
(173468, 3926)
(173468, 19922)
(198820, 18484)
(198820, 18679)
(93304, 16056)
(145226, 6487)
(145226, 7934)
(145226, 18094)
(175025, 6487)
(175025, 7934)
(175025, 18094)
(199948, 6487)
(199948, 7934)
(199948, 18094)
(181549, 2058)
(181549, 6308)
(199189, 15162)
(199189, 16695)
(198818, 18486)
(115006, 5049)
(115006, 12704)
(158630, 5049)
(158630, 12704)
(54410, 8581)
(134952, 9905)
(178342, 12522)
(164818, 9059)
(164818, 12521)
(178343, 9059)
(178343, 12521)
(54589, 6036)
(54589, 12061)
(94143, 6036)
(94143, 12061)
(10233, 6205)
(10233, 6357)
(10233, 11785)
(142619, 6205)
(142619, 6357)
(142619, 11785)
(171395, 6205)
(171395, 6357)
(171395, 11785)
(158631, 12705)
(164819, 9058)
(164819, 12520)
(100221, 2236)
(100219, 398)
(100219, 2234)
(100219, 19391)
(138372, 398)
(138372, 2234)
(138372, 19391)
(177363, 398)
(177363, 2234)
(177363, 19391)
(175024, 6486)
(145225, 7933)
(145225, 18095)
(199947, 7933)
(199947, 18095)
(56783, 2619)
(56783, 10777)
(56783, 16503)
(76258, 2619)
(76258, 10777)
(76258, 16503)
(161393, 2619)
(161393, 10777)
(161393, 16503)
(93306, 71)
(946, 9137)
(946, 11469)
(946, 17709)
(113973, 9137)
(113973, 11469)
(113973, 17709)
(145843, 9137)
(145843, 11469)
(145843, 17709)
(189702, 16168)
(181551, 6310)
(93305, 72)
(93305, 3969)
(93305, 16055)
(116507, 72)
(116507, 3969)
(116507, 16055)
(186819, 72)
(186819, 3969)
(186819, 16055)
(147235, 20777)
(100220, 2235)
(177364, 2235)
(94144, 12062)
(148251, 9563)
(113828, 1187)
(113828, 7368)
(113828, 13817)
(134169, 1187)
(134169, 7368)
(134169, 13817)
(196476, 1187)
(196476, 7368)
(196476, 13817)
(83360, 15163)
(83360, 16694)
(199190, 15163)
(199190, 16694)
(137477, 18622)
(196026, 18622)
(198819, 18485)
(173469, 3927)
(56784, 2618)
(84580, 2082)
(33587, 5701)
(80566, 2853)
(81566, 16947)
(33588, 5702)
(33588, 20453)
(33588, 20546)
(164248, 5702)
(164248, 20453)
(164248, 20546)
(192573, 5702)
(192573, 20453)
(192573, 20546)
(64925, 14953)
(56782, 16504)
(161392, 16504)
(56581, 814)
(56581, 962)
(160755, 814)
(160755, 962)
(192662, 814)
(192662, 962)
(146350, 14885)
(13771, 2578)
(13772, 2579)
(127624, 1616)
(127624, 4464)
(127624, 13007)
(193333, 12302)
(138371, 2233)
(87483, 5205)
(151524, 3191)
(86036, 18482)
(86036, 18681)
(198822, 18482)
(198822, 18681)
(115600, 6112)
(115600, 17124)
(130222, 6112)
(130222, 17124)
(113829, 1188)
(113829, 7367)
(142618, 11784)
(151523, 3190)
(113827, 7369)
(134168, 7369)
(196475, 7369)
(947, 9136)
(947, 17708)
(61332, 1615)
(61332, 4463)
(61332, 13006)
(87070, 1615)
(87070, 4463)
(87070, 13006)
(127625, 1615)
(127625, 4463)
(127625, 13006)
(190927, 4723)
(163255, 15134)
(199946, 7932)
(101976, 3676)
(87482, 5204)
(87482, 10084)
(139943, 5204)
(139943, 10084)
(24131, 10045)
(86035, 18483)
(86035, 18680)
(198821, 18483)
(198821, 18680)
(64926, 14954)
(196024, 14954)
(43016, 19924)
(177362, 397)
(177362, 19392)
(125936, 2946)
(125936, 9086)
(160203, 2946)
(160203, 9086)
(81569, 15132)
(84922, 15132)
(163257, 15132)
(86037, 18682)
(198823, 18682)
(54587, 12059)
(160204, 2945)
(81568, 12923)
(81568, 15133)
(81568, 16949)
(84921, 12923)
(84921, 15133)
(84921, 16949)
(163256, 12923)
(163256, 15133)
(163256, 16949)
(93307, 70)
(164817, 9060)
(27919, 16169)
(189703, 16169)
(81565, 16946)
(81567, 16948)
(101977, 3677)
(117315, 19751)
(125317, 2059)
(125317, 6309)
(125317, 12301)
(181550, 2059)
(181550, 6309)
(181550, 12301)
(193332, 2059)
(193332, 6309)
(193332, 12301)
(54588, 12060)
(54413, 8578)
(16653, 16218)
(54586, 12058)
(64927, 14955)
(64927, 18621)
(64927, 18998)
(137476, 14955)
(137476, 18621)
(137476, 18998)
(196025, 14955)
(196025, 18621)
(196025, 18998)
(194556, 1414)
(199191, 15164)
